iBM, sse, 4.5798060996075485
kMB, sse, 32.750319046140284
kNB, sse, 75.76165146715337
lambdaM, sse, 59.65497851611247
lambdaN, sse, 245.5298996979919
muA, sse, 5320.459051434137
muB, sse, 33.97941503744855
muM, sse, 4.644654338945987
muN, sse, 27.842401554230058
sAM, sse, 3290.348734703588
sBN, sse, 19.83107328669813
vNM, sse, 60.22137260162607
iBM, mean, -0.31287170324429214
kMB, mean, -0.7555399666541593
kNB, mean, 0.38229213455461086
lambdaM, mean, 2.100691752736084
lambdaN, mean, 12.08383677068547
muA, mean, 32.355471087761934
muB, mean, 2.6255958465665516
muM, mean, -0.098851328884275
muN, mean, -0.8989631020270198
sAM, mean, 18.144124727081923
sBN, mean, 1.2033361558622924
vNM, mean, -0.827523341669478
iBM, sd, 0.14468046587228842
kMB, sd, 0.14451444969792465
kNB, sd, 0.2797451143935101
lambdaM, sd, 0.6355409684692453
lambdaN, sd, 1.4723258771596681
muA, sd, 4.438715824781872
muB, sd, 0.40477357532655095
muM, sd, 0.04952659888139011
muN, sd, 0.06382123081461027
sAM, sd, 3.88523980052246
sBN, sd, 0.5290949867298799
vNM, sd, 0.1300775027368636
lambdaN, initial, 13.753031
kNB, initial, 1.581684
muN, initial, -0.15542
vNM, initial, 0.26236
lambdaM, initial, 2.993589
kMB, initial, 0.04104
muM, initial, 0.201963
sBN, initial, 1.55302
iBM, initial, -0.046259
muB, initial, 1.905163
sAM, initial, 11.001731
muA, initial, 23.022678